,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,Poste actuel
676,['Skills : Spring Boot · Ansible · Keras · Telecommunications · Software Development'],Skills : Spring Boot · Ansible · Keras · Telecommunications · Software Development,,,,,,,,,,Student
677,['unckown'],unckown,,,,,,,,,,Trainee
678,['Skills : Angular · JavaScript'],Skills : Angular · JavaScript,,,,,,,,,,Full-stack Developer
679,['unckown'],unckown,,,,,,,,,,Trainee
680,['Skills : Deep learning · python · TensorFlow · AngularJS'],Skills : Deep learning · python · TensorFlow · AngularJS,,,,,,,,,,Trainee
681,"['Development of a web application to display statistics data of the company ', '  * Create a window application with scheduler task in window to daily update the database ', '  * Implementation authentication in.NET microservices and web applications', '  * Use Telerik Kendo UI to display statistics of Contacts ', 'Keyword :.NET, Asp.net MVC, SAAS,C#, WebAPI, Html, CSS, Bootstrap, Data Warehouse, ', 'SQL Server, Dashboard, Telerik Kendo UI, JSON Web Token,Microservices.']",Development of a web application to display statistics data of the company ,  * Create a window application with scheduler task in window to daily update the database ,  * Implementation authentication in.NET microservices and web applications,  * Use Telerik Kendo UI to display statistics of Contacts ,"Keyword :.NET, Asp.net MVC, SAAS,C#, WebAPI, Html, CSS, Bootstrap, Data Warehouse, ","SQL Server, Dashboard, Telerik Kendo UI, JSON Web Token,Microservices.",,,,,Trainee
682,"['JavaEE Teacher & Framework Spring ', 'Teacher Continuous Integration CI, DevOps', 'Head of Internships (RS) [Option: Software Engineering Ex:INFOB]', 'Spring alternance trainer, Continuous integration CI - Vermeg', 'Coach Angular - Integration and Development Projects ESPRIT']",JavaEE Teacher & Framework Spring ,"Teacher Continuous Integration CI, DevOps",Head of Internships (RS) [Option: Software Engineering Ex:INFOB],"Spring alternance trainer, Continuous integration CI - Vermeg",Coach Angular - Integration and Development Projects ESPRIT,,,,,,Computer technologist
683,['unckown'],unckown,,,,,,,,,,Trainee
684,['Skills: R · Linux · Adaptability · Data analysis · Deep learning · Data structure · Automatic learning · Time management · Git · Algorithms · Microsoft Office · Teamwork · French'],Skills: R · Linux · Adaptability · Data analysis · Deep learning · Data structure · Automatic learning · Time management · Git · Algorithms · Microsoft Office · Teamwork · French,,,,,,,,,,Graduate Student
685,['unckown'],unckown,,,,,,,,,,Looking for a PFE internship
686,['unckown'],unckown,,,,,,,,,,unckown
687,['unckown'],unckown,,,,,,,,,,Software Engineer
688,['Competencies : C#'],Competencies : C#,,,,,,,,,,Data Science Internal
689,"['Project:Devops', 'Automation of the development chain, integration and continuous delivery', 'Spots made :', '- Creation and execution of the SpringBoot application and Mysql database in a Docker container.', '- Test backend services. ', '- Check the quality of the source code. ', '- Host artifacts.', '- Start a pipeline construction event on Jenkins with GitHub and Webhook - -- ------ Continuous integration and automation with Jenkins Pipeline.', '- Continuous delivery by creating a Docker image generated with Dockerfile from the hosted artifact and depositing it on DockerHub.', '- Deliverable container: spring boot, MySQL from their respective images using Dockercomrose', '- Monitoring and visualisation of data']",Project:Devops,"Automation of the development chain, integration and continuous delivery",Spots made :,- Creation and execution of the SpringBoot application and Mysql database in a Docker container.,- Test backend services. ,- Check the quality of the source code. ,- Host artifacts.,- Start a pipeline construction event on Jenkins with GitHub and Webhook - -- ------ Continuous integration and automation with Jenkins Pipeline.,- Continuous delivery by creating a Docker image generated with Dockerfile from the hosted artifact and depositing it on DockerHub.,"- Deliverable container: spring boot, MySQL from their respective images using Dockercomrose",Student
690,['unckown'],unckown,,,,,,,,,,Software-Architecture Engineering Student
691,['unckown'],unckown,,,,,,,,,,ERP-BI internal
692,['unckown'],unckown,,,,,,,,,,Internship in development
693,['Competencies : Java · Angular'],Competencies : Java · Angular,,,,,,,,,,Full Stack Developer
694,"['Design and realization of a web app ', 'Laravel Framework']",Design and realization of a web app ,Laravel Framework,,,,,,,,,Full Stack Developer
695,['Skills : Qlik Sense · SaaS development · Python (programming language)'],Skills : Qlik Sense · SaaS development · Python (programming language),,,,,,,,,,Trainee
696,['unckown'],unckown,,,,,,,,,,End of study abroad
697,['unckown'],unckown,,,,,,,,,,Trainee
698,['Skills : Spring Framework · AngularJS'],Skills : Spring Framework · AngularJS,,,,,,,,,,Student Intern
699,['unckown'],unckown,,,,,,,,,,Data Scientist
700,['Skills: Talend BSE · JIRA · MySQL · Oracle Database · TMC · Snowflake · Decision-making computing · Microsoft SQL Server · Talend'],Skills: Talend BSE · JIRA · MySQL · Oracle Database · TMC · Snowflake · Decision-making computing · Microsoft SQL Server · Talend,,,,,,,,,,Consultant Bi-Talend
701,['Skills : Front-End Development'],Skills : Front-End Development,,,,,,,,,,Student
702,['unckown'],unckown,,,,,,,,,,Teacher trainer
703,['unckown'],unckown,,,,,,,,,,Student
704,['unckown'],unckown,,,,,,,,,,Student
705,"['- Design and development of a mobile payment application ""MSS MPAY"" allows', 'users to manage their bills and perform transactions.', '', '- Development of new feature ""Help Center (Chat)"" in order to guide users to find solutions to their problems.', '', '- This project was carried out by the following technologies: Flutter to develop the FrontEnd part of the client, Angular to develop the FrontEnd part of the Back Office,.net framework & MySQL database for the BackEnd part.']","- Design and development of a mobile payment application ""MSS MPAY"" allows",users to manage their bills and perform transactions.,,"- Development of new feature ""Help Center (Chat)"" in order to guide users to find solutions to their problems.",,"- This project was carried out by the following technologies: Flutter to develop the FrontEnd part of the client, Angular to develop the FrontEnd part of the Back Office,.net framework & MySQL database for the BackEnd part.",,,,,Graduate Internship
706,['unckown'],unckown,,,,,,,,,,Student Software Engineer
707,['unckown'],unckown,,,,,,,,,,Software Engineer
708,['unckown'],unckown,,,,,,,,,,Summer Intern
709,['unckown'],unckown,,,,,,,,,,Trainee
710,['unckown'],unckown,,,,,,,,,,SoC Architect
711,['unckown'],unckown,,,,,,,,,,Data Science Internal
712,['unckown'],unckown,,,,,,,,,,Data Science Consultant
713,['unckown'],unckown,,,,,,,,,,Computer engineering student
714,['unckown'],unckown,,,,,,,,,,Internal
715,['unckown'],unckown,,,,,,,,,,Data Engineer
716,['unckown'],unckown,,,,,,,,,,responsible import export service
717,['unckown'],unckown,,,,,,,,,,Penister
